training_id;employee_id;department_id;completion_date;training_completed;phishing_test_result
3001;E101;1;10.01.2026;Yes;Passed
3002;E102;1;18.01.2026;Yes;Failed
3003;E201;2;22.01.2026;Yes;Passed
3004;E202;2;;No;Not Taken
3005;E301;3;08.02.2026;Yes;Passed
3006;E302;3;19.02.2026;Yes;Passed
3007;E401;4;;No;Not Taken
3008;E402;4;03.03.2026;Yes;Passed
3009;E501;5;07.03.2026;Yes;Failed
3010;E502;5;;No;Not Taken
3011;E601;6;20.03.2026;Yes;Passed
3012;E602;6;28.03.2026;Yes;Failed
3013;E103;1;05.04.2026;Yes;Passed
3014;E203;2;09.04.2026;Yes;Passed
3015;E303;3;;No;Not Taken
3016;E403;4;18.04.2026;Yes;Failed
3017;E503;5;24.04.2026;Yes;Passed
3018;E603;6;;No;Not Taken
3019;E104;1;06.05.2026;Yes;Passed
3020;E204;2;;No;Not Taken
3021;E304;3;15.05.2026;Yes;Passed
3022;E404;4;21.05.2026;Yes;Passed
3023;E504;5;02.06.2026;Yes;Failed
3024;E604;6;11.06.2026;Yes;Passed
3025;E105;1;22.06.2026;Yes;Passed
3026;E205;2;24.06.2026;Yes;Passed
3027;E305;3;26.06.2026;Yes;Passed
3028;E405;4;;No;Not Taken
3029;E505;5;29.06.2026;Yes;Failed
3030;E605;6;01.07.2026;Yes;Passed
3031;E106;1;03.07.2026;Yes;Failed
3032;E206;2;;No;Not Taken
3033;E306;3;06.07.2026;Yes;Passed
3034;E406;4;08.07.2026;Yes;Passed
3035;E506;5;;No;Not Taken
3036;E606;6;11.07.2026;Yes;Failed
3037;E107;1;14.07.2026;Yes;Passed
3038;E207;2;16.07.2026;Yes;Passed
3039;E307;3;18.07.2026;Yes;Passed
3040;E407;4;21.07.2026;Yes;Failed
3041;E507;5;23.07.2026;Yes;Passed
3042;E607;6;;No;Not Taken
3043;E108;1;26.07.2026;Yes;Passed
3044;E208;2;28.07.2026;Yes;Failed
3045;E308;3;;No;Not Taken
3046;E408;4;31.07.2026;Yes;Passed
3047;E508;5;02.08.2026;Yes;Failed
3048;E608;6;04.08.2026;Yes;Passed
3049;E109;1;;No;Not Taken
3050;E209;2;07.08.2026;Yes;Passed
3051;E309;3;09.08.2026;Yes;Passed
3052;E409;4;;No;Not Taken
3053;E509;5;12.08.2026;Yes;Passed
3054;E609;6;14.08.2026;Yes;Passed
3055;E110;1;16.08.2026;Yes;Passed
3056;E210;2;18.08.2026;Yes;Passed
3057;E310;3;20.08.2026;Yes;Passed
3058;E410;4;22.08.2026;Yes;Failed
3059;E510;5;;No;Not Taken
3060;E610;6;25.08.2026;Yes;Passed
3061;E111;1;28.08.2026;Yes;Failed
3062;E211;2;;No;Not Taken
3063;E311;3;31.08.2026;Yes;Passed
3064;E411;4;02.09.2026;Yes;Passed
3065;E511;5;04.09.2026;Yes;Passed
3066;E611;6;;No;Not Taken
3067;E112;1;07.09.2026;Yes;Passed
3068;E212;2;09.09.2026;Yes;Passed
3069;E312;3;11.09.2026;Yes;Passed
3070;E412;4;13.09.2026;Yes;Failed
3071;E512;5;15.09.2026;Yes;Failed
3072;E612;6;17.09.2026;Yes;Passed
3073;E113;1;20.09.2026;Yes;Passed
3074;E213;2;22.09.2026;Yes;Passed
3075;E313;3;;No;Not Taken
3076;E413;4;;No;Not Taken
3077;E513;5;25.09.2026;Yes;Passed
3078;E613;6;27.09.2026;Yes;Failed
3079;E114;1;01.10.2026;Yes;Passed
3080;E214;2;03.10.2026;Yes;Failed
3081;E314;3;05.10.2026;Yes;Passed
3082;E414;4;07.10.2026;Yes;Passed
3083;E514;5;;No;Not Taken
3084;E614;6;10.10.2026;Yes;Passed
3085;E115;1;;No;Not Taken
3086;E215;2;13.10.2026;Yes;Passed
3087;E315;3;15.10.2026;Yes;Passed
3088;E415;4;17.10.2026;Yes;Failed
3089;E515;5;19.10.2026;Yes;Passed
3090;E615;6;;No;Not Taken
3091;E116;1;22.10.2026;Yes;Passed
3092;E216;2;24.10.2026;Yes;Passed
3093;E316;3;26.10.2026;Yes;Passed
3094;E416;4;28.10.2026;Yes;Passed
3095;E516;5;30.10.2026;Yes;Failed
3096;E616;6;01.11.2026;Yes;Passed
3097;E117;1;03.11.2026;Yes;Passed
3098;E217;2;;No;Not Taken
3099;E317;3;06.11.2026;Yes;Passed
3100;E417;4;08.11.2026;Yes;Failed
