incident_id;department_id;date_opened;severity;status;incident_type;resolution_days
1001;1;05.01.2026;High;Closed;Malware Alert;3
1002;1;12.01.2026;Medium;Closed;Phishing Email;2
1003;2;18.01.2026;Low;Closed;Access Issue;1
1004;4;25.01.2026;High;Open;System Outage;
1005;5;03.02.2026;Medium;Closed;Suspicious Login;4
1006;6;09.02.2026;Low;Closed;Password Reset Spike;1
1007;1;14.02.2026;Critical;Open;Ransomware Attempt;
1008;3;20.02.2026;Medium;Closed;Misdirected Email;2
1009;4;02.03.2026;High;Closed;VPN Failure;5
1010;2;11.03.2026;Medium;Open;Unauthorized Access;
1011;5;19.03.2026;Low;Closed;Spam Surge;1
1012;6;27.03.2026;High;Open;Ticket Backlog Incident;
1013;1;03.04.2026;Medium;Closed;Unusual Admin Activity;3
1014;2;08.04.2026;Low;Closed;File Permission Error;1
1015;4;14.04.2026;High;Closed;Network Disruption;6
1016;5;21.04.2026;Medium;Open;CRM Login Failure;
1017;3;29.04.2026;Low;Closed;Policy Mail Sent to Wrong Group;2
1018;1;06.05.2026;Critical;Closed;Privilege Escalation Attempt;7
1019;6;13.05.2026;Medium;Closed;Ticket Routing Error;2
1020;4;20.05.2026;High;Open;Patch Deployment Failure;
1021;2;28.05.2026;Medium;Closed;Shared Drive Access Issue;3
1022;5;04.06.2026;Low;Closed;Duplicate Account Creation;1
1023;1;12.06.2026;High;Open;Endpoint Detection Alert;
1024;6;18.06.2026;Medium;Closed;Phishing Report Queue Delay;4
1025;4;24.06.2026;High;Closed;Warehouse Network Instability;4
1026;2;27.06.2026;Low;Closed;Report Access Issue;1
1027;1;30.06.2026;Medium;Closed;Suspicious Attachment Click;2
1028;5;02.07.2026;Medium;Open;CRM Account Lockout;
1029;6;05.07.2026;Low;Closed;Ticket Categorization Error;1
1030;4;08.07.2026;High;Closed;VPN Gateway Disruption;5
1031;1;10.07.2026;Critical;Open;Endpoint Malware Outbreak;
1032;3;13.07.2026;Low;Closed;Confidential File Misdelivery;2
1033;2;16.07.2026;Medium;Closed;Unauthorized Folder Access;3
1034;5;18.07.2026;High;Closed;Suspicious Export Activity;4
1035;6;21.07.2026;Medium;Open;Customer Mail Queue Delay;
1036;4;24.07.2026;High;Open;Patch Rollout Interruption;
1037;1;27.07.2026;Medium;Closed;Phishing Email Cluster;3
